date,Germany_JHU,Austria_JHU,France_JHU,Germany_infectious_BMP,Germany_recovered_BMP,TS_infectious_LR,TS_recovered_LR
2020-01-22,0,0,0,,,,
2020-01-23,0,0,0,,,,
2020-01-24,0,0,2,,,,
2020-01-25,0,0,3,,,,
2020-01-26,0,0,3,,,,
2020-01-27,1,0,3,,,,
2020-01-28,4,0,4,,,,
2020-01-29,4,0,5,,,,
2020-01-30,4,0,5,,,,
2020-01-31,5,0,5,,,,
2020-02-01,8,0,6,,,,
2020-02-02,10,0,6,,,,
2020-02-03,12,0,6,,,,
2020-02-04,12,0,6,,,,
2020-02-05,12,0,6,,,,
2020-02-06,12,0,6,,,,
2020-02-07,13,0,6,,,,
2020-02-08,13,0,11,,,,
2020-02-09,14,0,11,,,,
2020-02-10,14,0,11,,,,
2020-02-11,16,0,11,,,,
2020-02-12,16,0,11,,,,
2020-02-13,16,0,11,,,,
2020-02-14,16,0,11,,,,
2020-02-15,16,0,12,,,,
2020-02-16,16,0,12,,,,
2020-02-17,16,0,12,,,,
2020-02-18,16,0,12,,9,,
2020-02-19,16,0,12,,10,,
2020-02-20,16,0,12,,10,,
2020-02-21,16,0,12,,11,,
2020-02-22,16,0,12,,11,,
2020-02-23,16,0,12,,11,,
2020-02-24,16,0,12,,14,,
2020-02-25,17,2,14,,15,,
2020-02-26,27,2,18,4,15,,
2020-02-27,46,3,38,8,16,,
2020-02-28,48,3,57,37,16,,
2020-02-29,79,9,100,50,16,,
2020-03-01,130,14,130,101,16,,
2020-03-02,159,18,191,134,16,,
2020-03-03,196,21,204,172,16,,
2020-03-04,262,29,288,247,16,,
2020-03-05,482,41,380,384,16,,
2020-03-06,670,55,656,623,16,,
2020-03-07,799,79,959,779,16,,
2020-03-08,1040,104,1136,882,16,,
2020-03-09,1176,131,1219,1128,16,,
2020-03-10,1457,182,1794,1543,22,,
2020-03-11,1908,246,2293,1937,30,,
2020-03-12,2078,302,2293,2712,33,,
2020-03-13,3675,504,3681,3619,56,,
2020-03-14,4585,655,4496,4528,57,,
2020-03-15,5795,860,4532,5752,61,,
2020-03-16,7272,1018,6683,7186,86,,
2020-03-17,9257,1332,7715,9261,99,,
2020-03-18,12327,1646,9124,12192,135,,
2020-03-19,15320,2013,10970,15159,161,,
2020-03-20,19848,2388,12758,19598,250,,
2020-03-21,22213,2814,14463,22039,325,,
2020-03-22,24873,3582,16243,24510,363,,
2020-03-23,29056,4474,20123,26178,2876,,
2020-03-24,32986,5283,22622,27230,5759,,
2020-03-25,37323,5588,25600,31505,6106,,
2020-03-26,43938,6909,29551,35347,7862,,10
2020-03-27,50871,7657,33402,39115,9922,14,10
2020-03-28,57695,8271,38105,42368,11898,54,11
2020-03-29,62095,8788,40708,44697,13956,76,12
2020-03-30,66885,9618,45170,49407,16716,105,12
2020-03-31,71808,10180,52827,51581,19402,121,16
2020-04-01,77872,10711,57749,55468,22309,165,16
2020-04-02,84794,11129,59929,59879,24907,191,22
2020-04-03,91159,11524,65202,63482,27675,222,29
2020-04-04,96092,11781,69500,65485,30127,291,30
2020-04-05,100123,12051,71412,67846,32176,299,33
2020-04-06,103374,12297,75343,68511,34980,318,39
2020-04-07,107663,12639,79163,68186,39270,337,48
2020-04-08,113296,12942,83057,65925,45852,379,53
2020-04-09,118181,13244,87366,60663,54858,457,55
2020-04-10,122171,13555,91738,61487,58668,524,57
